text,prediction,pred_gpt4o
Por que uma sociedade poupadora enriquece e uma sociedade consumista empobreceEconomia ,0,n_ironia
O Gregório Duvivier estava errado. Não é Temer q vai unir o país. É Bolsonaro!  ,1,ironia
"Muito triste que no Brasil não existe o filtro de DeadPool. Não é justo. Sim, essa é a minha maior preocupação no dia de hoje. ",1,ironia
 e por sinal comediante. E viva o guerreiro. ,1,n_ironia
Que simpática eres. ,1,ironia
TODOS os políticos delatados negam veementemente. Ufa! Graças a Deus! Sempre soube que a nossa classe política era super honesta. ,1,ironia
Economize água! economizeagua agua economia economiadeagua water boatarde,0,n_ironia
não são muito piores que os pregos de hoje! ,1,ironia
"Complimenti: gioco fluido,verticalizzazioni imprevedibili,coraggio e tanta tenacia inter  amala",1,ironia
Já me tou a mentalizar para amanhã ter 5h de gestão ! Q mel né -.- ,1,ironia
Percebi que tenho que toma banho de novo pela oitava vez so de noite calor ,1,n_ironia
So musica foda ,1,n_ironia
Desculpem não sabia que eu não poderia expor minha opinião =`( ,1,ironia
" Valeu pelo agradecimento no video , não tem de que  hahahaha",1,ironia
Na cabeça da esquerda é assim que resolveremos o problema da criminalidade juvenil ,1,ironia
 Para nada Ironía,1,n_ironia
"ENEM, materialização da doutrinação comunista, gayzista e feminazi! O mundo ta acabando mesmo!",1,ironia
Sorte que eu tenho o pai que eu tenho se eu nao tivesse tava fudido pprto .com,1,ironia
Esse juiz é muito bom em FigurasDeLinguagem ,1,ironia
Oeste aumenta produção e pode se ... .Veja mais detalhes no site.   Economia Notícias NotíciasEmDestaque,0,n_ironia
"Lo de Neymar es provocar, Esto no.  ...  ",1,ironia
" Falta 5 minutos pra bomba explodir no filme , más o filme ainda tem 40 minutos de duração ..e nada acontece. """,1,ironia
"A galera que curte basquete e xingou a Argentina está torcendo para a Argentina agora? Se perderem, Brasil fora...",1,ironia
Programa de incentivo à inovação e empreendedorismo é lançado no ES  notícias Economia ,0,n_ironia
Davidson News já saiu!  futebol economia,0,n_ironia
Que lindo no saber que va suceder Ironía modeon,1,ironia
Momento nãofoiumprotestodosricos. Olhem só esta coluna social:  … ,1,ironia
"Tô no hospital DO CÂNCER, vem uma senhora e senta ao meu lado cheirando a puro cigarro... ",1,ironia
Dono na JBS se reúne com procuradores para negociar leniência  economia,0,ironia
Compras em grupo são a melhor opção para deixar seu frete mais barato. Descubra por quê:Economia Frete,0,n_ironia
opinião |  Líder do PT na Câmara afirma que solução para economia é oposto que prega  ,0,ironia
A culpa foi do waze.  ,1,ironia
"  ministro afirma que Deus nos ajudará... porque a preocupação, né? ",1,ironia
Que bonito todo ironía,1,ironia
" como Nou Barris, no? ",1,n_ironia
"Vai Coração Valente  : Dólar pode passar dos R$ 3 em 2015, avaliam analistas ",1,ironia
sim... claro... óbvio que o processo tem tudo a ver ()  ,1,ironia
Este brinquedo é perigosissimo  ,1,n_ironia
Riberyldo agora vai!!! ,1,ironia
Menos Cel. Mais Céu.  foto ,1,ironia
O Malato sempre com comentários super pertinentes ,1,ironia
"Déficit com viagens sobe 50% em um ano, diz BC  Economia",0,n_ironia
Ano passado a virada de ano eu tava vestindo preto... to vivo ainda hshuashusa nao custa repetir (  nao creio nessas besteiras),1,ironia
Ficando pretinho  praiana vemcomigo blackrio  Pontal - Praia… ,1,n_ironia
"Ouvi falar que o  esquerda caviar  adora se hospedar no triplex do Lula no guarujá, faz loucuras no elevador privativo ",1,ironia
Dormi muito  ,1,n_ironia
Cláudio e Beatriz que evolução  espiritual para uma separação! MINHA GENTE!!!  Imperio,1,ironia
Apetece-me mesmo estudar! Adoro a escolinha :)  ,1,ironia
  faltou,1,n_ironia
VOu adorar este verao ,1,ironia
"Isso porque no Brasil não existe machismo,é tudo vitimismo de mulheres mal comidas. sqn  MachismoMata",1,ironia
Previsão de agravamento do risco de incumprimento na Europa de Leste  economia mundo,0,n_ironia
Como é civilizada a Eurocopa hein. Só torcida legal hein. ,1,ironia
GRÊMIO EM CRISEGANHAVA DE 4 DE 5AGORA SÓ 1x0,1,ironia
 é  aparecer em última colocação no ranking de atividade dos senadores feito pela : ,1,n_ironia
"Magina"" eles trocaram o do piru grande pelo do piru pequeno foi isso produção ?  """,1,ironia
ser enganado e dos melhores sentimentos :D .,1,ironia
Piadas sobre mulheres anas... que engracado...  HuntsmanWintersWars,1,ironia
E assim ocorre esse ciclo maravilhoso!!!!!  ,1,ironia
"Vamos treclamar da nossa família ai a gente vai ser legal, vão ser muito emo ",1,ironia
Economia Meirelles comemora IPCA baixo e destaca retomada do poder de compra  ,0,n_ironia
"Depois fui pra Puc, na hr do almoço, adivenhem qm eu encontrei.... O coisa linda do Daniel ",1,n_ironia
Abertas inscrições para o III Fórum Logístico  IIIFórumLogístico Indústria  Logística Economia ,0,n_ironia
Gosto da imparcialidade dos narradores de futebol da Rede Globo kkkk ,1,ironia
"Ei, sabem que aqui não tem uma nerd né? Mas mesmo assim, segue uma page que vai dar o que falar... Para... ",1,ironia
Como a  está prosperando mesmo com a crise:  varejo maquiagens cosméticos economia ,0,n_ironia
Lufthansa já aceita pagamentos no check-in e portas de embarque  economia portugal,0,n_ironia
"RT @taispastoris_: ""Hoje será o dia perfeito para quando dar 23:59 ouvir cpm 22 Um minuto para o fim do mundo."" hahaha dei uma risadinha",1,ironia
seguro tiah. Pos claro ,1,ironia
Comença la Campanaelectoral l'Eurocopa mare meva! em faltaran hores per seguir-ho tot! ,1,ironia
Odeio isso,1,n_ironia
  nunca xinguei a matemática na época de escolas  me dou melhor com humanas rs,1,ironia
Economia Receita abre consulta a primeiro lote de restituição do IR deste ano »  | Via .twitter.com/hPHjjR8scb,0,n_ironia
99%depalcoe1%asfalto carnaval carnival  eletanojato  Circuito Barra-Ondina de Carnaval ,1,n_ironia
Míriam Leitão: alta da produção industrial foi outro alento para a economia. Ouça a análise. ,0,n_ironia
Agora sim. Isso que é resposta. Orgulho da nossa polícia.  ,1,ironia
Que originales sois ,1,ironia
Devedores da União ganham novo programa de refinanciamento:  Noticias Brasil Economia Dividas Refinanciamento,0,n_ironia
Montadoras miram mais ricos e SUVs superamcarros de entrada em 2017  economia,0,n_ironia
"Valor de uma vida: R$7500,00. Não vale a pena.  issoéBrasil",1,ironia
"Ahhh, mas nada supera os 30 mil corintianos....  ",1,ironia
"...E o número para o qual você ligou, está desligado!.."" """,1,n_ironia
Que dia mas bonito  ,1,n_ironia
Nesse calor e eu sentindo frio de ar condicionado..... ,1,ironia
"Não consegui achar a parte que o advogado carioca"" ficou inerte à cusparada...   """,1,n_ironia
claramente Lobito buscao... Antideportiva por usar técnicas extradeportivas. ,1,ironia
Repórter baderneiro! Bem feito!  ,1,ironia
"faço isso o tempo todo... Como não tenho irmão, espanco meu primo. ",1,ironia
   al final a decidir la cupula o com va aixo? ,1,n_ironia
Economia Cerca de 7% das pessoas que estão com o nome incluso no cadastro de inadimplente costumam pagar sua... ,0,n_ironia
Muita gente entrando no mar somente pra mijar.  bomdia  MatHouse ,1,n_ironia
Economia: Moody's vê mais risco de processos e rebaixa nota da JBS ,0,n_ironia
Nunca confunda silêncio com fraqueza. Ninguém planeja um assassinato em voz alta.  … ,1,ironia
Não sou preconceituoso mas...o boticário tirou o perfume Vetiver Brasil do mercado. xatiado ,1,n_ironia
"concordo,temos que escutar os estupradores e assassinos,alias temos de saber se as vitimas provocaram não é mesmo... ",1,ironia
É bom ver como a TI está sendo valorizada nas grandes empresas. ,1,ironia
"Parabéns ao Fantástico, que dedicou 1'56'' dos 8'02'' a duas finais do Nordeste. Realmente, muito representada a região. ",1,ironia
  E LIXO,1,n_ironia
Será?  o.OIrônia  Sacasmo FingindoSurpresa TodasAsAlternativas,1,n_ironia
Difícil né meninas?  dinheiro money fimdemes mes month girls mulher mania cansei rica… ,1,ironia
Meirelles descarta chance de retorno de política econômica de Dilma  economia,0,n_ironia
Robôs e legislação ambiental marcam fim da globalização? -  - Tecnologia Economia,0,n_ironia
"Prá que impôr regras a uma criança, né??? Afinal, em sociedade, não precisamos disso..... Trabalhar? Estudar? Não precisa. Encontro",1,ironia
Confiança do empresário do comércio paulistano cresce pelo terceiro mês consecutivo. Pesquisa completa em  economia,0,n_ironia
"Alguém já disse prxs guêi que casamento só dá stress e dor? ...Melhor nem avisar, vão descobrir um dia mesmo, né?  marriagesucks",1,ironia
Adoro que me mandem cenas à cara.  on,1,ironia
The marcio frade Daily já saiu!  Graças a  economia windows10,0,ironia
E pensar que tem gente essas horas ouvindo os álbuns de Jazz da Lady Gaga... NasciNoMundoErrado SóPode ,1,ironia
bitcoin dispara mais uma vez e atinge valor de R$ 10 mil Ciência Economia ,0,n_ironia
Ele é torcedor do racing e simpatizante do flamengo. ,1,n_ironia
"Até pq isso não acontece com homens, né?  ",1,ironia
Essa linda mania que os familiares tem de sempre exigirem sua atenção justamente quando você não pode dar..,1,ironia
"Economia: IPCA-15 registra pequena alta em maio, diz IBGE ",0,n_ironia
 olha eu já estou sentindo até pena de você ,1,ironia
É porque o Léo é cruzeirense.  ,1,n_ironia
"meus vizinhos escolheram as melhores musicas para serem reproduzidas no fim do mundo, só que não ¬¬",1,ironia
"Afirmam, em um texto mal escrito, que o trabalho exige compreensão de texto"".  """,1,ironia
Petrobras recebeu manifestações de interesse por Pasadena  economia,0,n_ironia
Mundos paralelos...Viñetas Humor Crítica Ironía ,1,n_ironia
Patrícia Amorim  ,1,n_ironia
Vc chega em casa cansado e sua vizinha quer bater papo.sacanagem  becosemsaida lamentable,1,n_ironia
 Parabéns! Democratização da mídia tá aí graças a ele.  ,1,ironia
obrigada viação estrela linha 711 por me fazer esperar uma hora e meia para passar hoje por volta das 21 horas no ponto de Vicente. ,1,ironia
"Na boa , ignora mais.Não magoa nem nada , porisso continua , ignora muito mais. -.-",1,ironia
A quina hora comença el Barça?  FotliFCB fotlipou  ,1,n_ironia
Meu medo não é o fim do mundo mas o Maia da Casa Rica!!!,1,ironia
 devias ter percebido Luis,1,n_ironia
"Caixa libera o FGTS para nascidos em setembro, outubro e novembro  economia",0,n_ironia
. recibe premio Airbus VolarSeguro Airbus América colombia economia latinoamerica venezuela …,0,n_ironia
  del bepi o de la boda(?) ,1,n_ironia
"Shehera tb????  : SBT cancela telejornal e demite 46 """,1,n_ironia
"A cada jogo que passa, o  comprova que o tempo dele no Inter acabou, né, gente?  ",1,ironia
 Esperando os gráficos da  a respeito das manifestações. Excelentes exemplos do uso da Estatística no jornalismo. ,1,ironia
"Bolsonaro foi vitima de Heterofobia"". Um absurdo!!! """,1,ironia
Gracias  por todo o apoio a medicalizadaXa preguntando o conselleiro polo tema.ironía ,1,ironia
I have to say this in portuguese.Não sei se chore ou se ria. Mesmo a sério.   ,1,n_ironia
"Never say Never... Fera, tu já falou never! Kkkk   Hein Justin Bieber",1,ironia
"Nunca li tanta coisa apontada como positiva (sem defeito nenhum!) quando o assunto era economia quanto agora. Maravilhoso, né?! sqn ",1,ironia
Deve ter chegado a internet no Macapá. ,1,ironia
A juntar a tudo de bom que tem acontecido só o meu saldo nas apostas. ,1,ironia
Aaaaa tão dizendo por ai q cê eu passa vai me pega Aaaaaa vái Aaa váiMuitoDebochadoIndireta!!!,1,n_ironia
"Se pegar fogo pela terceira vez na Prefeitura de Criciúma, vão pedir música no Fantástico? ",1,ironia
@marciam_14 Boa noite ...pra vc tbem bom fim do mundo :),1,ironia
Mais de 20 min de jogo e o Inter não fez nenhum gol! CadaUmEOnze ForaAguirre ,1,ironia
" Gonçalo , não acredito que não me contaste nada ! Felicidades !  ",1,ironia
Será que a Época vai apagar depois reportagem sobre a Dilma Bolada?  ,1,ironia
 Que poder ! ,1,ironia
JBS enfrenta ameaças de boicote após escândalo de corrupção  Economia ,0,n_ironia
"  ah, começou, vai querer regular os preconceitos ai... ",1,ironia
"Economia Impostos: Os portugueses são generosos""  Em """,0,ironia
Sabeis que gracias a  Lim capitaliza 100mEsLoQueVanADecir,1,n_ironia
Coitado!Será que os direitos humanos não podem interferir?Essa punição é forte demais.   ,1,ironia
Agência Moodys corta nota daChina pela 1ª vez em 25 anos  economia,0,n_ironia
"Pablo Escobar tem sua versão brasileira. Sérgio Cabral preso em Bangu 8, que ele mesmo construiu. ",1,ironia
Se avessimo venduto Honda a quest'ora non stavamo vincendo MilanPerugia ,1,ironia
"Carol saiu??? Ahhhh, que triste  MasterChefBR",1,ironia
 Cê tá levando o mundo muito a sério...,1,n_ironia
Economia: Meirelles diz que Brasil vive clima de pessimismo exagerado ,0,n_ironia
Nao podia estar mais feliz ,1,ironia
"Banco Mundial reduz para 0,3% previsão de alta do PIB brasileiro  economia",0,n_ironia
"Economia Inquérito/CGD: BdP sem função decisória"" na escolha de António Domingues  Em """,0,n_ironia
"as 23:59 vai tocar no céu ""um minuto para o fim do mundo"" logo após ""meteoro da paixão"" e dps ""o mundo vai acabar e ela só quer dançar""",1,n_ironia
 vigila que sortiràs manipuladíssim eh...,1,ironia
Para! Só tenho enaltecido a cor da Violet pq ela é branca. ,1,ironia
"Bom mesmo é aquele negócio fácil, aquela pegada diferente, porém igual, pra que todos assimilem sem dificuldades. rs ",1,ironia
"FHC ESTABILIZA A MINHA MOEDA!!!"" PlanoReal economia politica  GustavoFranco Real cinemark… """,0,n_ironia
Esqueci de colocar o ,1,n_ironia
 pouco ,1,n_ironia
"RT @rananiglazer_: Sobrevivi ao ""fim do mundo"" de 1999, ao de 2000, ao de 11-11-11 e tenho certeza que vou ao de 2012",1,ironia
Oi   Foi . Bjs,1,n_ironia
"Agora sim vou ser uma mulher feliz, e falar mtooo no Cel   ",1,ironia
Para comemorar os meus anos a câmara resolveu cortar a água do nosso bairro inteiro!!! Que sorte! ,1,ironia
"Tenho medo de dar um passo errado e iniciar um holocausto nuclear, principalmente com minhas GRANDES habilidades de comunicação ",1,ironia
E poi non dite che non sono figo!  socialcom16  sischerza cravatta  maiprendersisulserio,1,ironia
Aposto que até vão revelar nomes que não ligados ao BES e ao Sócrates.   ,1,ironia
Bona manera de comensar el dia   OdieSocials,1,ironia
"Marcos meu filho como vc ousa falar q a diferentona erra!! Ela é perfeita, jamais faz algo errado!  BBB17 pediprasairemilly",1,ironia
"Caiado, uma pessoa notadamente ilibada e de boa fé. ",1,ironia
"Amo , i suoi video e la sua grande  insopportabilmentedonna",1,n_ironia
A próxima zuera de fim do mundo (MAS AGORA É SÉRIO!!!!!!!!!!!!!) será em 2060. Vi ontem no Discovery.,1,ironia
Racista..... Por favor  se manifeste com suas ideias SENSACIONAIS   ,1,ironia
A inflação será como o   PT  gosta 13% ao mes  lacrado ... \o/  o governo do PT é assim competência sem limites ,1,ironia
"Assim? http://t.co/zzUZUQCZ RT: @diegoguichard: ""ACABOU, ACABOU...."" RT @jrschuler: Eu queria que o Galvão Bueno narrasse o fim do mundo.",1,ironia
Ganas de nada. FelizMartes Ironía,1,ironia
Quem é esse Richa? É do petê?   ,1,ironia
sobre o trailer da série do Demolidor: PREFIRO O FILME DO BEN AFFLECK.  ounão,1,ironia
Hhahahaah. Se não tem  no tweet a galera não entende. ,1,ironia
Estamos em uma geração tão mimimi que daqui a pouco rola processo na Nutella porque não tem Nutella branca. ,1,ironia
O Eleitor Consciente Não Sabia  artigo de Guilherme Fiúza   ValeAPenaLer ÓtimoSábado,1,n_ironia
Brasileiros já pagaram este ano R$ 900 bi de impostos e taxas   economia,0,n_ironia
grandissima tecnica  tvoi,1,ironia
"Que ! Diego ROSA"" marca contra o cnc e faz 3 a 0! """,1,n_ironia
"Não sei o porquê, mas a frase O maior missionário do Brasil"" não faz muito sentido na minha cabeça """,1,ironia
O projeto deve ser concluído em março de 2018. Goiás governo política economia ,0,n_ironia
É melhor ficar com a sofia do que ir para uma premiação importante para reconhecimento de suas musicas onde suas fãs votaram p KCT ,1,ironia
Estou mesmo a ver mais uma noite sem dormir graças a minha melhor amiga porque ela é realmente 5*,1,ironia
Dá gosto de ver certos e determinados tweets   complicated,1,ironia
"economia, não é bem assim ForaTemerO resultado positivo aconteceu graças a um crescimento de 13,4% da...""",0,n_ironia
"Ouvir, ler, identificar padrões. ouvir ler padrao pnlboanoite buenasnoches… ",1,n_ironia
"Economia deve crescer de cerca de 0,7% no primeiro trimestre, estima Meirelles  Economia ",0,n_ironia
Será que a presidente Dilma perguntou ao MPF sobre todos os ministros nomeados hoje? ,1,ironia
Alemanha bolivariana.  ,1,ironia
"Verdade né, o Canteros/MA são muito melhores que o Mancuello.  ",1,ironia
 FIA e STJD são tão rápidos nas decisões com os grandes... ,1,ironia
"Sapato, perfume e jóias??? Nossa que linda homenagem....",1,ironia
"Demoraram para abrir confessionário para dar tempo de trazer o próprio pai da AP, pra pedir pra ela ficar ",1,ironia
"Essa semana não vi ninguém dizendo ""chega logo sexta-feira!"". Por que será, né? O fim do mundo ninguém quer...",1,ironia
"a Bruna pode ser A especialista, mas ele não se deu muito bem nos pratos doces ao longo do programa nao ",1,n_ironia
 Não tem noção nenhuma de acerto de carro hahahaha ,1,ironia
É É pra fechar a noite com chave de outro um mal jeito nas costa cai muito bem  — se sentindo ironica,1,ironia
Apetecia-me MESMO ter a casa cheia de gente para o almoço. ,1,ironia
bora se enviar pelo correio em uma caixa pra ganhar views ,1,ironia
Pernambuco em 6° no ranking das BRs nacionais mais perigosas do Brasil BR 101( O Trecho Pernambucano). Vamos ascender o farol galera ,1,ironia
Eca! Saiba mais sobre ironia em:  ,1,n_ironia
 mais uma deste portal indispensável para o jornalismo brasileiro.,1,ironia
"À beira de mais uma eleição, segue vídeo-cartilha para os políticos de plantão.  política eleicoes2016 ",1,n_ironia
Não me leve a mau. Me leve ao havai. ,1,n_ironia
E o Rodrigo Caetano na Disney? Se estivesse aqui trazia o Messi. Demite ele Orelha. ,1,ironia
Jantar a esta hora torna as quartas-feiras ainda melhores. ,1,n_ironia
Banco do Brasil permite transferir dinheiro pelo WhatsApp -  / economia dinheiro whatsapp banco bb finanças,0,n_ironia
Esqueci de acrescentar a . Vai que... ,1,n_ironia
O silêncio fala com a alma.,1,n_ironia
Time empatando em casa e não pressionando a saída de bola do adversário... Mas a culpa não é do Tite... ,1,ironia
"Ah, mas a Dilma e o PT saíram. Isso é o que importa. RepúblicadasBananas PãoeCirco  ",1,ironia
Amor por Linux!!  Aaarrg Scripts ,1,ironia
"Engraçado, Jesus quando caminhando na Terra gastou mais tempo construindo vidas ao invés de templos"". """,1,ironia
"Só neste ano, o Inter comprou o árbitro do jogo contra o Santos e os times do Santa Cruz, Figueirense e Fluminense. Haja dinheiro! ",1,ironia
Adoro jantares de família ,1,ironia
Vai ter de ser Marcelo no seu primeiro acto oficial a  despedir Passos... Oh a ...,1,ironia
Quem liga pra melhor filme? O DiCaprio já ganhou  Oscars ,1,ironia
Dor de cabeça da porra mesmo começar com Régis e Juninho  ,1,ironia
Voe Qatar Airway! Q !! Chape avança conversas e calcula até R$ 60 milhões em patrocínio d empresa do Catar ,1,n_ironia
"Embora o E. Ribeiro e o Rafinha sejam jogadores a nível de seleção, vão ter que ralar muito pra ganhar a titularidade do Gabriel. ",1,ironia
"Qse 2h. Estou no auge de produção intelectual, mas preciso parar pq amanhã tenho que acordar cedo pq não posso trabalhar de noite ",1,ironia
"Tudo falso Rubro Negro ""...  """,1,n_ironia
temos o melhor Gabriel do Brasil ,1,ironia
 estão compartilhando e objetivando (foi uma ),1,n_ironia
Economía Presentan decreto transitorio para suspender embargos a 10 mil caficultores ,0,n_ironia
Obrigado  pela eterna organização da secretaria nas rematriculas.Certinho em deixar a gente sem vaga nas disciplinas ,1,ironia
"Produção industrial avança 0,6% no melhor abril desde 2013   Economia",0,n_ironia
E a mídia golpista querendo d qualquer jeito dizer que o país está em crise quando na verdade está tudo bem?  ,1,ironia
"Parece uma música hehehe  frases Miles, como milhas? “A percorrer antes de dormir?” — perguntou. — He... """,1,n_ironia
"Mas sera q ela nao provocou, nao tava de saia curta, decote? Aaah ja sei, é culpa de crise!  PrisãoPerpetua ",1,ironia
Esto de no poder dormir es super divertido ,1,ironia
Servidor público de bem. Reputação ilibada.  ,1,ironia
corujinhadeferias corujavidaloka ferias cinema feriassualinda humor coruja  Segue lá ->... ,1,n_ironia
"Sistema prisional é excelente no Brasil, não? mas pera, quem vai bancar as câmeras? Ata é só privatizar e pronto.  ",1,ironia
"RT @lucasvon: Esse papo de fim do mundo é uma grande bobagem, mas se dá um ""plantão da Globo"" agora eu me mijo todo.",1,ironia
Amo escutar desaforo de coisa que eu não tenho nada a ver.  ,1,ironia
De nada Ironía,1,ironia
Imagina! Isso não acontece. ,1,ironia
Estou tããããão contente . Vou ter outra bosta,1,ironia
5% acharam ruim. Nem imagino quem são eles : Aeroportos brasileiros são bem avaliados por 74% dos passageiros ,1,ironia
Acredito que pouca coisa é mais irônica que um motoboy chamado Caio.  amor roadrash,1,ironia
mano... dormi apenas 3 horas. e tenho que traduzir 2 artigos. obrigada deus por pelo menos eu estar viva! ,1,ironia
"Alta do PIB de 2017 calculada pela Focus permanece em 0,50%  economia",0,n_ironia
"Oxe, mas por que?  ",1,n_ironia
" esquerdista, petralha, comunista, gayzista, vai pra Cuba!!!!111!! Onze!!! ",1,ironia
Senado aprova MP que permite saques do FGTS  economia,0,n_ironia
"Não se fala mais da lista da Odebrecht. Nem do Lula, nem do Cunha nem do Calheiros. Essa tragédia veio bem a calhar. ",1,ironia
Amo os sarcasmos dos meus professores.,1,ironia
 e reparaste que o dragao deitava o fumo dos olhos vermelho??  lol,1,n_ironia
E quando até o Waze é irônico? waze  boatarde transito traffic trafficjam… ,1,ironia
  agora homem tem que seguir normas sosicias impostas por  esse feminismo que mata homem todo dia?! ToCansadoDisso ,1,ironia
como está sendo o 1º dia do governo temer? voltamos à escravidão? pobres foram queimamos na fogueira? ( às vezes é bom colocar  rs),1,ironia
"Quando você quer que o tempo passa o tempo não passa rápido, e quando você quer que o tempo não passa o tempo passa rápido. ",1,n_ironia
"A pior coisa que existe no mundo, são pessoas que estão, mas não são. Se é que me entende. ",1,n_ironia
Só sendo .lol,1,ironia
"Cada jogo ruim na Champions hije,não??",1,ironia
 (se não ficou claro...),1,n_ironia
A filha do Salgueiro Maia estava era a gozar com todos os que culpam o Passos Coelho pelos seus problema. ,1,n_ironia
"RTUOLNoticias: Bolsa fecha em queda de 1,5%, com crise política; JBS desaba mais de 30%  EconomiaTimBetaBetaLab",0,n_ironia
que feliz se le ve a Luke  ,1,ironia
"Se a pena d morte e a redução da maioridade são a solução, a ideia é a seguinte: liberar o aborto assim esses marginais"" nem nascem """,1,ironia
"Novidade linda do , a faixa Ironía fala sobre quão irônico o destino pode ser com nossos amores. Ouça: ",1,n_ironia
Vou ali mandar um menor matar sua família... Depois é só mandar ele pra escola e tudo certo neh? ,1,ironia
Este Fidel deve ter sido muito ruim para Cuba. Vejam quão pouca gente foi se despedir dele.  ,1,ironia
 noooossssssa que surpresa ,1,ironia
"@voltairesantos, avisa o @marcelordrago que terá festa do fim do mundo na academia, levar comes e bebes, haha, abraço pessoal e bom dia!!!",1,n_ironia
Que sabado mas intenso ironía,1,ironia
Minicursos grátis de comércio e vendas oferecem 420 vagas em Londrina  economia,0,n_ironia
Estou na fila para doar alimentos para o banco alimentar contra a fome. Porém contudo estou a morrer de fome na fila ,1,ironia
", que linda essa declaração desse senhor""! Chego a ficar emocionada lendo isso!  Mais um ""mártir"" do PT!  """,1,ironia
"O fato é que eu penso que a pessoa sente minha falta, como eu sinto a dela.  ",1,n_ironia
"  + eu tenho argumentos, não fico ofendendo de graça aqui no  e vc perde nos argumentos pra 1 maconheiro ",1,n_ironia
"Prossimo articolo: Come perdere peso ed essere felici"" dieta donne """,1,n_ironia
 Irônia Inteligência Acidez Provocações estão de Luto .Sonho envelhecer misturando… ,1,n_ironia
"ECONOMÍA Economia Sostenible convoca ajudes per 6.300.000 € destinades al comerç, consum i artesania",0,n_ironia
Atualmente está em nível quase máximo  frases quetempos ,1,n_ironia
ofmgofmgfkmg MIS DIOSAS a<3< 3 <3 < 3 3 33 <33 ironía,1,n_ironia
Ana Paula falando sobre ouvir calado...  MasterChefBR,1,ironia
"Sim, malvados plantadores!  ",1,ironia
ECONOMY Petróleo avança após divulgação positiva sobre estoques dos EUA economia  via ,0,n_ironia
Preta Gil e Jandira parece q acharam o Brasil  branco. São argumentações inteligentes e imparciais como esta q o Brasil precisa. ,1,ironia
amo site com nome metido a engraçado querendo vomitar regra do que é bonito ou feio na moda ,1,ironia
"Comendo glacê puro de bolo a minha glicose ta igual a minha paciência, Laaaa em cimaa. ",1,ironia
disse q parecia uma galinha  hahaha,1,ironia
"Uma das poucas vezes q não coloquei cinto de segurança no banco de trás, sofro o acidente e fico todo dolorido....  estoubem",1,ironia
Que tarde mas divertida. ,1,ironia
A quem interessar...    votanadilma eratudoprainglesve   ,1,ironia
Corram... Já tá quase acabando o NATAL...Snoopy CharlieBrown Peanuts  Ironic  Pacoti ,1,ironia
tem umas pessoas nesse site que não entende ironia/sarcasmo daqui a pouco vou ter que colocar no fim do tweet  sendosarcastico,1,ironia
noooossa q engraçado tô morrendo de rir hahahahahahhaha mds do céu mt engraçado ,1,ironia
ué... tucano frauda e desvia bens públicos?!?!?! novidade CadêasPanelas ,1,ironia
1maggio o festa dei lavoratori (n=33)drzap ridere battute freddure umorismo humour humor  satira,1,n_ironia
"CCEE: liquidação financeira do mercado de curto prazo movimenta R$ 1,7 bi  notícias Economia ",0,n_ironia
Adoro entrar em blogs desconhecidos e me deparar com o fundo do agap sendo usado por lá  ,1,ironia
Genial esto de no poder dormirme!  ,1,ironia
realtà e apparenzala vignetta di oggi!Corvorosso vignette  ,1,n_ironia
Aliás desde que o PT entrou no governo as baratas não param de se procriar e crescer. Vieram todas no Nordeste. foraPT ,1,ironia
O Palhaço que NÃO faz o povo de palhaço. ,1,ironia
"Às vezes há diferenças de opiniões entre gerações, né? (caso alguém não tenha entendido) ",1,ironia
"Alô RibeiraoPreto, que saudades das suas ruas esburacadas e sujas, das pessoas mal educadas. ",1,ironia
Precisamos de um Estatuto do Desfacamento já! EstatutoDoDesarmamento ,1,ironia
Na foto do  dá para ver que o servidor estava agindo violentamente e precisava ser contido pela BM. ,1,n_ironia
"Ah, mas você editou essas fotos, não serve...  ",1,ironia
Bravo   ,1,n_ironia
Eu realmente sou um poço de educação!,1,ironia
Que absurdo: Dirceu contratou monitoramento de redes sociais  ,1,n_ironia
Documentado NEWS já saiu!  economia futurosdobrasil,0,n_ironia
 do destino: Trump vence socialistas em aniversário da queda do MurodeBerlim  BerlinerMauer... Perfeito!!!,1,ironia
  com certeza ^^ o ruim é que a assistência mais próxima é longe da minha casa ,1,ironia
TAP inaugura novas rotas  economia portugal,0,n_ironia
se nota pecha pecha ironía,1,ironia
Apanhar uma molha para Casa para.ficar ainda mais doente.e do melhor (: ,1,ironia
" Bah, isso é o fim do resto! ",1,ironia
Nao cantaram no volei de praia e perderam ta vendo? ,1,ironia
 uma cigana sem saldo ,1,ironia
"Povo na porrada por conta de futebol...Vocês estão de parabéns pela inteligência e esperteza, viu?   ",1,ironia
" della serie, agricoltura al primo posto! ",1,ironia
"Ehhh sociedade e essa  do dois pesos e duas medidas, inrrustida em um FALSO moralismo...Tem hora que... ",1,ironia
Já veio novamente à baila socrates passosbem ,1,n_ironia
"Não entendo a surpresa e o horror com os parlamentares. Eles foram eleitos pelo povo, não? Tal como a presidente...  ImpeachmentJa",1,ironia
"E, se der mole, será eleita novamente. Ah cara, fala que essa carinha não merece um confirma? Kkkkkk  ",1,ironia
"Café da manhã, sfiha de carne com coca - cola. Alguém tem dúvidas de que sou saudável!?  Zzzzzzzzz ",1,ironia
Vou assistir MMA pq aqui sei que vai ser difícil de ver um beijo gay! ,1,ironia
" Nossa, estou caído no chão de tanta surpresa!  sqn",1,ironia
